iter	Passed	Remaining
542	1692	489
543	1695	486
544	1698	483
545	1701	479
546	1704	476
547	1707	473
548	1710	470
549	1713	467
550	1716	464
551	1719	461
552	1722	457
553	1725	454
554	1728	451
555	1731	448
556	1734	445
557	1737	442
558	1740	439
559	1743	435
560	1746	432
561	1749	429
562	1752	426
563	1755	423
564	1758	420
565	1761	416
566	1763	413
567	1767	410
568	1769	407
569	1772	404
570	1775	401
571	1778	398
572	1782	394
573	1785	391
574	1788	388
575	1791	385
576	1794	382
577	1797	379
578	1800	376
579	1803	373
580	1806	369
581	1809	366
582	1812	363
583	1815	360
584	1818	357
585	1821	354
586	1824	351
587	1827	348
588	1830	344
589	1833	341
590	1836	338
591	1839	335
592	1842	332
593	1845	329
594	1848	326
595	1851	323
596	1854	319
597	1857	316
598	1860	313
599	1863	310
600	1866	307
601	1869	304
602	1872	301
603	1875	298
604	1878	294
605	1881	291
606	1884	288
607	1887	285
608	1890	282
609	1893	279
610	1896	276
611	1899	273
612	1902	270
613	1905	266
614	1908	263
615	1911	260
616	1914	257
617	1917	254
618	1920	251
619	1923	248
620	1926	245
621	1929	241
622	1932	238
623	1936	235
624	1939	232
625	1942	229
626	1945	226
627	1948	223
628	1951	220
629	1954	217
630	1957	214
631	1960	210
632	1963	207
633	1966	204
634	1969	201
635	1972	198
636	1975	195
637	1978	192
638	1981	189
639	1984	186
640	1987	182
641	1990	179
642	1993	176
643	1996	173
644	1999	170
645	2002	167
646	2005	164
647	2008	161
648	2011	158
649	2014	154
650	2017	151
651	2021	148
652	2024	145
653	2027	142
654	2030	139
655	2033	136
656	2036	133
657	2039	130
658	2042	127
659	2045	123
660	2048	120
661	2051	117
662	2054	114
663	2057	111
664	2060	108
665	2063	105
666	2066	102
667	2069	99
668	2072	96
669	2075	92
670	2078	89
671	2081	86
672	2085	83
673	2087	80
674	2091	77
675	2093	74
676	2097	71
677	2100	68
678	2103	65
679	2105	61
680	2109	58
681	2112	55
682	2115	52
683	2118	49
684	2121	46
685	2124	43
686	2127	40
687	2130	37
688	2133	34
689	2136	30
690	2139	27
691	2142	24
692	2145	21
693	2148	18
694	2151	15
695	2155	12
696	2158	9
697	2161	6
698	2164	3
699	2167	0
