iter	Passed	Remaining
0	3	2581
1	6	2394
2	9	2295
3	13	2413
4	17	2417
5	20	2400
6	24	2419
7	27	2395
8	30	2367
9	34	2350
10	37	2334
11	40	2316
12	43	2294
13	46	2284
14	49	2267
15	53	2270
16	56	2265
17	59	2256
18	63	2267
19	65	2237
20	68	2229
21	72	2219
22	75	2215
23	78	2206
24	81	2202
25	84	2195
26	87	2189
27	90	2180
28	94	2177
29	97	2173
30	100	2164
31	103	2158
32	106	2160
33	110	2160
34	113	2155
35	117	2158
36	120	2157
37	123	2160
38	127	2162
39	131	2162
40	134	2168
41	138	2165
42	141	2162
43	144	2158
44	148	2154
45	151	2149
46	154	2147
47	157	2144
48	161	2140
49	164	2134
50	167	2131
51	170	2126
52	173	2123
53	177	2119
54	180	2118
55	183	2113
56	186	2109
57	190	2108
58	193	2103
59	197	2104
60	200	2100
61	203	2095
62	206	2089
63	209	2084
64	213	2081
65	216	2078
66	219	2074
67	222	2071
68	225	2066
69	229	2061
70	232	2057
71	235	2053
72	238	2048
73	242	2047
74	245	2046
75	248	2042
76	252	2040
77	255	2038
78	258	2035
79	262	2033
80	265	2029
81	269	2027
82	272	2024
83	275	2021
84	278	2018
85	282	2015
86	289	2037
87	292	2034
88	295	2030
89	299	2028
90	302	2024
91	305	2019
92	308	2015
93	312	2011
94	315	2007
95	318	2003
96	321	2000
97	324	1995
98	327	1991
99	331	1987
100	334	1983
101	337	1980
102	341	1977
103	344	1972
104	347	1967
105	350	1964
106	353	1959
107	356	1955
108	359	1951
109	363	1948
110	366	1944
111	369	1940
112	372	1936
113	375	1931
114	378	1927
115	382	1923
116	385	1919
117	388	1914
118	391	1910
119	394	1906
120	397	1902
121	400	1898
122	403	1894
123	406	1890
124	410	1887
125	413	1882
126	416	1878
127	419	1874
128	422	1870
129	425	1867
130	428	1862
131	431	1857
132	434	1853
133	438	1851
134	441	1846
135	444	1843
136	447	1839
137	450	1835
138	453	1831
139	456	1827
140	460	1823
141	463	1819
142	465	1811
143	468	1808
144	471	1804
145	474	1800
146	477	1796
147	480	1792
148	483	1788
149	487	1785
150	490	1781
151	493	1777
152	496	1774
153	499	1770
154	502	1767
155	505	1763
156	508	1759
157	511	1755
158	515	1752
159	518	1749
160	521	1746
161	524	1742
162	527	1739
163	531	1735
164	534	1731
165	537	1727
166	540	1723
167	543	1720
168	546	1716
169	549	1713
170	552	1710
171	556	1707
172	559	1703
173	562	1700
174	565	1696
175	567	1689
176	570	1686
177	573	1682
178	576	1679
179	580	1675
180	583	1672
181	586	1668
182	589	1665
183	592	1661
184	595	1658
185	598	1654
186	602	1651
187	605	1647
188	608	1644
189	611	1641
190	614	1637
191	617	1634
192	620	1631
193	624	1627
194	627	1623
195	630	1620
196	633	1616
197	636	1613
198	639	1609
199	642	1606
200	645	1602
201	648	1598
202	651	1595
203	654	1591
204	657	1587
205	660	1583
206	663	1580
207	666	1577
208	669	1573
209	672	1570
210	676	1567
211	679	1563
212	682	1560
213	685	1557
214	689	1555
215	692	1552
216	695	1548
217	699	1545
218	702	1542
219	705	1538
220	709	1538
221	712	1534
222	716	1531
223	719	1528
224	722	1525
225	725	1520
226	728	1517
227	731	1513
228	734	1510
229	737	1506
230	740	1503
231	743	1499
232	746	1496
233	749	1493
234	752	1489
235	755	1486
236	759	1483
237	762	1480
238	765	1477
239	768	1473
240	771	1470
241	775	1467
242	778	1463
243	781	1460
244	784	1457
245	788	1454
246	791	1450
247	794	1447
248	797	1444
249	800	1441
250	803	1437
251	806	1434
252	809	1430
253	813	1428
254	816	1424
255	819	1421
256	822	1417
257	825	1414
258	829	1411
259	832	1408
260	834	1403
261	837	1400
262	840	1396
263	843	1393
264	846	1389
265	849	1386
266	852	1383
267	855	1379
268	859	1376
269	862	1373
270	865	1370
271	868	1366
272	871	1363
273	874	1359
274	877	1356
275	880	1353
276	883	1349
277	886	1346
278	890	1343
279	893	1340
280	896	1336
281	899	1333
282	902	1330
283	905	1327
284	909	1323
285	912	1320
286	915	1317
287	918	1313
288	921	1310
289	924	1307
290	927	1304
291	930	1300
292	933	1297
293	936	1293
294	939	1290
295	942	1286
296	946	1283
297	949	1280
298	952	1277
299	955	1273
300	958	1270
301	961	1267
302	964	1264
303	967	1260
304	970	1257
305	973	1253
306	976	1250
307	982	1249
308	985	1246
309	988	1243
310	991	1239
311	994	1236
312	997	1232
313	1000	1229
314	1003	1226
315	1006	1222
316	1009	1219
317	1012	1216
318	1015	1212
319	1018	1209
320	1021	1206
321	1024	1202
322	1027	1199
323	1030	1196
324	1033	1192
325	1036	1189
326	1039	1186
327	1042	1182
328	1045	1179
329	1049	1176
330	1052	1173
331	1054	1168
332	1057	1165
333	1060	1162
334	1063	1158
335	1066	1155
336	1069	1152
337	1072	1149
338	1075	1145
339	1078	1142
340	1082	1139
341	1085	1135
342	1088	1132
343	1091	1129
344	1094	1126
345	1097	1122
346	1100	1119
347	1103	1116
348	1106	1112
349	1109	1109
350	1112	1106
351	1115	1103
352	1119	1099
353	1121	1096
354	1125	1093
355	1128	1090
356	1131	1086
357	1134	1083
358	1137	1080
359	1140	1076
360	1142	1073
361	1145	1069
362	1148	1066
363	1151	1063
364	1154	1060
365	1157	1056
366	1161	1053
367	1164	1050
368	1167	1047
369	1170	1043
370	1173	1040
371	1176	1037
372	1179	1033
373	1182	1030
374	1185	1027
375	1188	1024
376	1191	1020
377	1194	1017
378	1197	1014
379	1200	1010
380	1203	1007
381	1206	1004
382	1209	1001
383	1212	997
384	1215	994
385	1218	991
386	1221	988
387	1224	985
388	1227	981
389	1230	978
390	1233	975
391	1236	971
392	1240	968
393	1243	965
394	1245	961
395	1248	958
396	1251	955
397	1254	952
398	1257	948
399	1261	945
400	1263	942
401	1267	939
402	1269	935
403	1272	932
404	1275	929
405	1279	926
406	1282	923
407	1285	920
408	1288	916
409	1291	913
410	1294	910
411	1297	906
412	1300	903
413	1303	900
414	1306	897
415	1309	894
416	1312	891
417	1316	887
418	1319	884
419	1321	881
420	1324	877
421	1327	874
422	1330	871
423	1333	868
424	1336	864
425	1339	861
426	1342	858
427	1345	855
428	1348	852
429	1352	848
430	1355	845
431	1357	842
432	1361	839
433	1363	835
434	1366	832
435	1370	829
436	1373	826
437	1376	823
438	1379	819
439	1382	816
440	1385	813
441	1388	810
442	1391	807
443	1394	803
444	1397	800
445	1400	797
446	1403	794
447	1406	790
448	1408	787
449	1411	784
450	1415	781
451	1418	778
452	1420	774
453	1423	771
454	1427	768
455	1429	765
456	1432	761
457	1435	758
458	1438	755
459	1442	752
460	1444	748
461	1449	746
462	1452	743
463	1455	740
464	1458	737
465	1461	733
466	1464	730
467	1467	727
468	1470	724
469	1473	720
470	1476	717
471	1479	714
472	1482	711
473	1485	708
474	1488	704
475	1491	701
476	1494	698
477	1497	695
478	1500	692
479	1503	689
480	1506	685
481	1509	682
482	1512	679
483	1516	676
484	1519	673
485	1522	670
486	1525	667
487	1528	663
488	1531	660
489	1534	657
490	1537	654
491	1540	651
492	1542	647
493	1546	644
494	1549	641
495	1552	638
496	1554	635
497	1558	631
498	1561	628
499	1563	625
500	1566	622
501	1569	619
502	1572	615
503	1575	612
504	1578	609
505	1581	606
506	1584	603
507	1588	600
508	1591	597
509	1594	593
510	1597	590
511	1600	587
512	1603	584
513	1606	581
514	1608	577
515	1611	574
516	1614	571
517	1617	568
518	1620	565
519	1624	562
520	1626	558
521	1629	555
522	1632	552
523	1635	549
524	1638	546
525	1640	542
526	1644	539
527	1647	536
528	1650	533
529	1653	530
530	1656	527
531	1659	523
532	1662	520
533	1665	517
534	1668	514
535	1671	511
536	1674	508
537	1677	505
538	1680	501
539	1683	498
540	1686	495
541	1689	492
